family,condition,replicate,iteration,order,prompt,options,answer,comment,correct_answer,matches_key,validated,cache_used,response_id,reasoning_in_answer_channel,final_text_after_thinking,finish_reason
conjunction,linda,1,0,forward,"Linda is 31 years old, single, outspoken, and very bright. She majored in philosophy. As a student, she was deeply concerned with issues of discrimination and social justice, and also participated in anti-nuclear demonstrations. Which is more probable?","['Linda is a bank teller.', 'Linda is a bank teller and is active in the feminist movement.']",Linda is a bank teller.,"The single statement is more probable because adding “active in the feminist movement” makes a narrower, less likely conjunction.",Linda is a bank teller.,True,True,,chatcmpl-iwXnVI4dklpJovShAxory7RMmweg4Him,False,,stop
conjunction,linda,1,1,forward,"Linda is 31 years old, single, outspoken, and very bright. She majored in philosophy. As a student, she was deeply concerned with issues of discrimination and social justice, and also participated in anti-nuclear demonstrations. Which is more probable?","['Linda is a bank teller.', 'Linda is a bank teller and is active in the feminist movement.']",Linda is a bank teller.,"The more specific second option combines two traits, so its probability is lower than the single-trait option.",Linda is a bank teller.,True,True,,chatcmpl-jTAkVjBPHZ3zo2VN0yNn7vxL6iWngsU3,False,,stop
conjunction,linda,2,0,reverse,"Linda is 31 years old, single, outspoken, and very bright. She majored in philosophy. As a student, she was deeply concerned with issues of discrimination and social justice, and also participated in anti-nuclear demonstrations. Which is more probable?","['Linda is a bank teller and is active in the feminist movement.', 'Linda is a bank teller.']",Linda is a bank teller.,"The conjunction “bank teller and active in the feminist movement” cannot be more probable than “bank teller,” because it is a subset of the first category.",Linda is a bank teller.,True,True,,chatcmpl-JnQuEoRIO7TeGIdIFNSk974rTfeoVheg,False,,stop
conjunction,linda,2,1,reverse,"Linda is 31 years old, single, outspoken, and very bright. She majored in philosophy. As a student, she was deeply concerned with issues of discrimination and social justice, and also participated in anti-nuclear demonstrations. Which is more probable?","['Linda is a bank teller and is active in the feminist movement.', 'Linda is a bank teller.']",Linda is a bank teller.,A less specific hypothesis is always at least as probable as a more specific conjunction.,Linda is a bank teller.,True,True,,chatcmpl-vtuH2RqRNQANhP3QjomMuGNozv2d7ZbY,False,,stop
conjunction,new_vignette,2,0,reverse,"Morgan loves star charts, spends clear evenings photographing planets, and volunteers at a planetarium. Which is more probable?","['Morgan works as an accountant and belongs to an astronomy club.', 'Morgan works as an accountant.']",Morgan works as an accountant.,The second option is more probable because it is a less specific claim than asserting both being an accountant and belonging to an astronomy club.,Morgan works as an accountant.,True,True,,chatcmpl-hhCZ8WYrmznryJwGHuJnQdSVF1DyyAzZ,False,,stop
conjunction,new_vignette,2,1,reverse,"Morgan loves star charts, spends clear evenings photographing planets, and volunteers at a planetarium. Which is more probable?","['Morgan works as an accountant and belongs to an astronomy club.', 'Morgan works as an accountant.']",Morgan works as an accountant and belongs to an astronomy club.,His astronomy interests make the additional club membership more likely.,Morgan works as an accountant.,False,True,,chatcmpl-y59nFoNpLCRNBY4sufoBpoN6t0djrAAZ,False,,stop
conjunction,new_vignette,1,0,forward,"Morgan loves star charts, spends clear evenings photographing planets, and volunteers at a planetarium. Which is more probable?","['Morgan works as an accountant.', 'Morgan works as an accountant and belongs to an astronomy club.']",Morgan works as an accountant and belongs to an astronomy club.,The astronomy-related evidence makes the additional club membership more probable.,Morgan works as an accountant.,False,True,,chatcmpl-KqficLC5YpnM6UXk6jSJqwxXM4ozQVif,False,,stop
conjunction,new_vignette,1,1,forward,"Morgan loves star charts, spends clear evenings photographing planets, and volunteers at a planetarium. Which is more probable?","['Morgan works as an accountant.', 'Morgan works as an accountant and belongs to an astronomy club.']",Morgan works as an accountant and belongs to an astronomy club.,"The evidence about star charts, planetary photography, and planetarium volunteering strongly supports belonging to an astronomy club.",Morgan works as an accountant.,False,True,,chatcmpl-K02vtSpWE8ols2FVEHp7ymieVUfxcDS6,False,,stop
base_rate,rare,1,0,forward,"A factory produces parts, of which 1% are defective. A scanner flags 80% of defective parts and also flags 10% of non-defective parts. A part is randomly selected and is flagged. What is the probability that it is defective? Give a percentage from 0 to 100, rounded to two decimal places.",,7.48,"# Using Bayes’ rule: (0.01 × 0.80) / [(0.01 × 0.80) + (0.99 × 0.10)] ≈ 0.074766, or 7.48%.",7.48,True,True,,chatcmpl-ipTrdpUissrBH5um5MN6pVNm8gQL4EdE,False,,stop
base_rate,rare,1,1,forward,"A factory produces parts, of which 1% are defective. A scanner flags 80% of defective parts and also flags 10% of non-defective parts. A part is randomly selected and is flagged. What is the probability that it is defective? Give a percentage from 0 to 100, rounded to two decimal places.",,7.48,"P(defective and flagged)=0.008 and P(flagged)=0.107, so P(defective|flagged)=0.008/0.107≈7.48%.",7.48,True,True,,chatcmpl-UUfK34zSA9eTRZlvAvCBthKM4CF024zK,False,,stop
base_rate,rare,1,2,forward,"A factory produces parts, of which 1% are defective. A scanner flags 80% of defective parts and also flags 10% of non-defective parts. A part is randomly selected and is flagged. What is the probability that it is defective? Give a percentage from 0 to 100, rounded to two decimal places.",,7.48,"# Bayesian update: (0.01·0.80)/(0.01·0.80 + 0.99·0.10) = 0.074766..., which is 7.48%.",7.48,True,True,,chatcmpl-FDAEzzoEC752njwEVr4CJPdCcOQjiI7y,False,,stop
base_rate,rare,1,3,forward,"A factory produces parts, of which 1% are defective. A scanner flags 80% of defective parts and also flags 10% of non-defective parts. A part is randomly selected and is flagged. What is the probability that it is defective? Give a percentage from 0 to 100, rounded to two decimal places.",,7.48,# Using Bayes' rule: (0.01 × 0.80) / [(0.01 × 0.80) + (0.99 × 0.10)] = 7.48%.,7.48,True,True,,chatcmpl-Dr2CWAc5iE0DCT7kfmM9kuLq0cFVHrip,False,,stop
base_rate,common,1,0,forward,"A factory produces parts, of which 40% are defective. A scanner flags 80% of defective parts and also flags 10% of non-defective parts. A part is randomly selected and is flagged. What is the probability that it is defective? Give a percentage from 0 to 100, rounded to two decimal places.",,84.21,"P(defective | flagged) = (0.8×0.4) / (0.8×0.4 + 0.1×0.6) = 0.8421, which is 84.21%.",84.21,True,True,,chatcmpl-qrGIIQIvAwI1wqyZfvkioYhsALVqABfB,False,,stop
base_rate,common,1,1,forward,"A factory produces parts, of which 40% are defective. A scanner flags 80% of defective parts and also flags 10% of non-defective parts. A part is randomly selected and is flagged. What is the probability that it is defective? Give a percentage from 0 to 100, rounded to two decimal places.",,84.21,Bayes' rule gives 0.8 × 0.4 / (0.8 × 0.4 + 0.1 × 0.6) = 84.21%.,84.21,True,True,,chatcmpl-fnvDeUJhEHEgtdfaKrafRzib41txT0no,False,,stop
base_rate,common,1,2,forward,"A factory produces parts, of which 40% are defective. A scanner flags 80% of defective parts and also flags 10% of non-defective parts. A part is randomly selected and is flagged. What is the probability that it is defective? Give a percentage from 0 to 100, rounded to two decimal places.",,84.21,"Bayes’ theorem: P(defective|flagged) = (0.40×0.80)/(0.40×0.80+0.60×0.10) = 0.32/0.38 ≈ 0.8421. As a percentage, this is 84.21%.",84.21,True,True,,chatcmpl-fDXpzO1P1m8KUNq1jp7OJkjejvlBd1TT,False,,stop
base_rate,common,1,3,forward,"A factory produces parts, of which 40% are defective. A scanner flags 80% of defective parts and also flags 10% of non-defective parts. A part is randomly selected and is flagged. What is the probability that it is defective? Give a percentage from 0 to 100, rounded to two decimal places.",,84.21,"# Using Bayes’ theorem, P(defective | flagged) = (0.4 × 0.8) / (0.4 × 0.8 + 0.6 × 0.1) = 0.32 / 0.38 ≈ 84.21%.",84.21,True,True,,chatcmpl-gTPNgH9YtfeyKBa0OnfOU8pOYnBItoAc,False,,stop
gambler,streak,1,0,forward,"A fair coin has been flipped six times, producing heads, heads, heads, heads, heads, heads. Each flip is independent. On the next flip, which outcome is more likely?","['Heads', 'Tails', 'Heads and tails are equally likely']",Heads and tails are equally likely,Each independent fair coin flip has a 50/50 chance of heads or tails.,Heads and tails are equally likely,True,True,,chatcmpl-mLPPBVJkn3N605N0x5fMMEckOA1wgzdI,False,,stop
